"target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSG00000010244","ZNF207",13,57.390137271268,0.147709493893476,0.553854396052629
"ENSG00000172146","OR1A1",2,6.06763821637947,0.147327317220099,0.553854396052629
"ENSG00000177030","DEAF1",12,38.6087678185059,0.147737531561944,0.553875222953659
"ENSG00000090554","FLT3LG",4,7.70569971682836,0.147766661619085,0.553900138311955
"ENSG00000072364","AFF4",8,36.8879294582709,0.147832681807372,0.553934058549455
"ENSG00000137210","TMEM14B",10,29.7049639123235,0.147800054678577,0.553934058549455
"ENSG00000260558","",1,2.77526724386097,0.14784316764614,0.553934058549455
"ENSG00000223509","",2,7.80993174521328,0.147889346856857,0.554022819315491
"ENSG00000269968","",1,2.19055716141659,0.147932230088811,0.554099207577597
"ENSG00000167291","TBC1D16",7,29.6200446705946,0.148022050196278,0.554182858143664
"ENSG00000249476","",2,6.58804495527781,0.147991481859624,0.554182858143664
"ENSG00000273783","",1,2.90907652146849,0.148003017448654,0.554182858143664
"ENSG00000005889","ZFX",10,39.8388303652112,0.14808004042907,0.554315726480798
"ENSG00000286319","",1,1.59211122319529,0.148213157370647,0.554729737439363
"ENSG00000283900","TPTEP2-CSNK1E",1,4.54617424656479,0.148386379923104,0.554788051207415
"ENSG00000103248","MTHFSD",9,27.5835524494797,0.148265875708772,0.554788051207415
"ENSG00000216802","",1,2.22620922522291,0.148320789626917,0.554788051207415
"ENSG00000107099","DOCK8",8,16.0733537392431,0.148385363758015,0.554788051207415
"ENSG00000187889","FYB2",1,1.79710051641091,0.148283046261464,0.554788051207415
"ENSG00000003137","CYP26B1",2,4.08723277386639,0.148345845948654,0.554788051207415
"ENSG00000203356","LINC01562",1,4.627862388089,0.148338553262955,0.554788051207415
"ENSG00000198589","LRBA",14,55.2205771208109,0.148445214281098,0.554846853860095
"ENSG00000196184","OR10J1",1,2.11481292742918,0.14844715298526,0.554846853860095
"ENSG00000250509","",1,3.12566216897448,0.148476397225227,0.554871972943486
"ENSG00000267787","",4,10.4822854720191,0.14855475509621,0.555080599392559
"ENSG00000278933","",1,2.34652953297082,0.148689938331776,0.55524884505128
"ENSG00000242082","SLC5A4-AS1",2,8.24740972817522,0.148686449361034,0.55524884505128
"ENSG00000269945","",1,4.31607905812379,0.148651188783333,0.55524884505128
"ENSG00000182175","RGMA",4,12.7104864186919,0.148664955452086,0.55524884505128
"ENSG00000255513","",1,1.43306712655439,0.148819208306646,0.555563145421157
"ENSG00000102897","LYRM1",9,24.1345150840096,0.148813479912555,0.555563145421157
"ENSG00000115128","SF3B6",2,11.6418915564981,0.148850846605183,0.555597061533135
"ENSG00000286538","",1,2.77650217424087,0.148954914071931,0.555901273770946
"ENSG00000267239","",1,2.86976121030437,0.148989627268879,0.555946602206732
"ENSG00000273289","",1,2.30978149944691,0.149202481249537,0.55598292627172
"ENSG00000237757","EEF1A1P30",1,2.47959402524534,0.149169535156688,0.55598292627172
"ENSG00000149256","TENM4",1,3.84135936717424,0.14919444938554,0.55598292627172
"ENSG00000136379","ABHD17C",3,11.1150017906203,0.149071948361973,0.55598292627172
"ENSG00000270804","",2,6.18359132035752,0.14908638156986,0.55598292627172
"ENSG00000162825","NBPF20",4,19.2590101513617,0.149138647724443,0.55598292627172
"ENSG00000273361","",1,2.06837637370963,0.149139170962819,0.55598292627172
"ENSG00000121350","PYROXD1",7,22.4088977703547,0.149195485547511,0.55598292627172
"ENSG00000232732","",3,7.28114833740481,0.149101969209954,0.55598292627172
"ENSG00000101442","ACTR5",1,5.75309959801056,0.14925022966838,0.556025455545316
"ENSG00000130158","DOCK6",6,21.0650876890444,0.149259035417949,0.556025455545316
"ENSG00000176912","TYMSOS",2,4.26088631271032,0.149316293581201,0.55607058085758
"ENSG00000176320","",1,3.79456245421604,0.14930178421007,0.55607058085758
"ENSG00000203995","ZYG11A",2,9.48750246584986,0.149344337085728,0.556090952857754
"ENSG00000207554","MIR647",1,2.71688795402741,0.149395324899746,0.556183917798003
"ENSG00000185825","BCAP31",12,35.7128145530556,0.149414457803417,0.556183917798003
"ENSG00000118058","KMT2A",16,65.1997118164146,0.149523634829959,0.556506231158188
"ENSG00000106004","HOXA5",2,5.28924124930908,0.14962669010557,0.556805666276542
"ENSG00000130935","NOL11",6,24.359493634502,0.14967753067117,0.556910733738752
"ENSG00000134830","C5AR2",1,4.07298177796267,0.149732300235151,0.557030386030344
"ENSG00000139668","WDFY2",3,12.6763965285905,0.149930750251856,0.557034452659983
"ENSG00000188419","CHM",4,13.2148953646336,0.14994175805052,0.557034452659983
"ENSG00000241852","C8orf58",5,15.1946483351223,0.149865192432159,0.557034452659983
"ENSG00000163611","SPICE1",7,23.9723628180659,0.149851708072916,0.557034452659983
"ENSG00000173848","NET1",6,27.0260570804101,0.149763365545157,0.557034452659983
"ENSG00000125351","UPF3B",4,14.4821423073657,0.149876388088336,0.557034452659983
"ENSG00000214063","TSPAN4",13,41.0024186542521,0.149942676962967,0.557034452659983
"ENSG00000236617","",1,1.74439929330292,0.150002523900361,0.557034452659983
"ENSG00000116120","FARSB",1,6.88076262056822,0.149812957276478,0.557034452659983
"ENSG00000235354","RPS29P16",1,1.73348092448658,0.150008683697651,0.557034452659983
"ENSG00000220867","HSPE1P26",1,2.07781938183298,0.149993264608148,0.557034452659983
"ENSG00000255517","",3,7.20044827889196,0.150027342942926,0.557034452659983
"ENSG00000167384","ZNF180",6,20.2911242822375,0.149904739107629,0.557034452659983
"ENSG00000274253","",2,4.5588654175485,0.150147306772708,0.557052710576422
"ENSG00000233622","CYP2T1P",1,4.55661638373753,0.150094632556716,0.557052710576422
"ENSG00000083307","GRHL2",3,13.7553736403901,0.15006353836104,0.557052710576422
"ENSG00000147724","FAM135B",2,4.0137102356987,0.150138279492696,0.557052710576422
"ENSG00000287289","",1,3.47771641433621,0.150167933872053,0.557052710576422
"ENSG00000262668","",1,2.98135898239666,0.15014930177691,0.557052710576422
"ENSG00000271969","",1,1.75470597808532,0.150223843440777,0.55709233526472
"ENSG00000237651","C2orf74",4,10.9787590663642,0.150220643290431,0.55709233526472
"ENSG00000102898","NUTF2",6,27.7193532402194,0.150294886792851,0.557253637045637
"ENSG00000114988","LMAN2L",6,17.8621833149115,0.150312580400579,0.557253637045637
"ENSG00000197046","SIGLEC15",2,4.41228892385284,0.150389560208022,0.557455133271836
"ENSG00000084710","EFR3B",2,6.47738337115544,0.15053039866283,0.557754425172678
"ENSG00000119866","BCL11A",3,7.37991978240504,0.150525222317118,0.557754425172678
"ENSG00000196110","ZNF699",1,4.79250535519105,0.150538225003984,0.557754425172678
"ENSG00000234546","LNCTAM34A",2,3.43276666398819,0.150868329680773,0.557886715954045
"ENSG00000236345","SCAT8",1,2.33454448250339,0.150865449343305,0.557886715954045
"ENSG00000149806","FAU",4,19.922287311113,0.150704462559898,0.557886715954045
"ENSG00000242759","LINC00882",11,24.4692020471272,0.150850281803117,0.557886715954045
"ENSG00000166415","WDR72",3,7.74322009979632,0.150861429936242,0.557886715954045
"ENSG00000149547","EI24",10,33.8683833404046,0.150628088285305,0.557886715954045
"ENSG00000106976","DNM1",9,31.2642527363356,0.150725353920236,0.557886715954045
"ENSG00000259644","",1,3.75945159404677,0.150769668768134,0.557886715954045
"ENSG00000145022","TCTA",3,10.9092096906817,0.150866563881542,0.557886715954045
"ENSG00000263940","RN7SL275P",1,2.96860016311213,0.150682252264,0.557886715954045
"ENSG00000256028","",1,4.99841559655177,0.150845984809806,0.557886715954045
"ENSG00000105875","WDR91",14,44.5633582965713,0.150786162813071,0.557886715954045
"ENSG00000167895","TMC8",2,5.87364598588812,0.150695826448008,0.557886715954045
