"target_id","ens_gene","ext_gene","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","b","se_b"
"ENST00000374736.8","ENSG00000165029","ABCA1",1.25854285656249e-06,0.0030900587035976,23.4855683235398,12.6140539120092,1,7.93013765551953,0.446316995792534,0.00143849622618118,0.255991175447476,0.0329369645213311,0.255991175447476,-0.557020621963745,0.110936531926755
"ENST00000377727.2","ENSG00000158406","H4C8",4.8836397951641e-06,0.00562985995586517,20.8823890437121,7.20642339897996,1,7.49501170388247,0.272446925904296,0.000661065581799486,0.146408799703506,0.0315791906702523,0.146408799703506,0.401497494888795,0.0858225264349574
"ENST00000377745.4","ENSG00000278705","H4C2",6.82705090459167e-07,0.002306789875997,24.6633409480117,7.65658491692405,1,6.83391317540359,0.330366399819329,0.00123668290647114,0.155020152132795,0.0308866970962349,0.155020152132795,0.442486177920528,0.0855259347832958
"ENST00000377803.4","ENSG00000197061","H4C3",9.1142675088483e-06,0.00830373191982136,19.6886166427324,8.70585673790104,1,7.00771178349583,0.52145458370655,0.00119005913947013,0.17648048653198,0.0309136946677158,0.17648048653198,0.430741803490204,0.0953402250469428
"ENST00000389959.8","ENSG00000137501","SYTL2",1.77460369125123e-06,0.0032809408773269,22.8248060214695,70.3667187110361,1,2.56995264452119,1.64621852001055,0.704674044249085,0.731381439649611,0.154425258319318,0.731381439649611,-1.30066123413746,0.263568244944007
"ENST00000395751.8","ENSG00000072310","SREBF1",4.25296636486203e-06,0.00527518567291267,21.1473152803958,8.97801902182926,1,5.19679905339103,0.719327330813147,0.0614496872612157,0.1217751907353,0.0362394834034302,0.1217751907353,-0.450452893758402,0.0955662143372861
"ENST00000395906.8","ENSG00000241322","CDRT1",6.34454639113872e-06,0.00654409907131474,20.3813392711102,7.22721747370421,1,4.11204857315109,0.789201095300828,0.0299925993838832,0.117501634773346,0.051952479601631,0.117501634773346,-0.398093889834187,0.0863316128883016
"ENST00000397066.9","ENSG00000162063","CCNF",4.08502650617491e-06,0.00513184073444957,21.2245304100811,5.80323741220159,1,6.27223059008472,0.152587123283317,0.00488519772157649,0.113548218853966,0.0315566702201238,0.113548218853966,0.362693487887623,0.0767803132127508
"ENST00000398437.1","ENSG00000160179","ABCG1",7.69292116679482e-08,0.000837571065879879,28.8818802882654,106.564259043168,1,2.48304995696051,3.21240319967716,0.388441236916919,1.78633955988242,0.166233320441874,1.78633955988242,-1.75489415647398,0.307275639300828
"ENST00000403683.1","ENSG00000203852","H3C15",1.35217877599538e-05,0.00981461436312851,18.9354315287903,11.0885596823208,1,7.96241587077875,0.391642383345518,0.000214861156679402,0.226082275217214,0.0330679997026766,0.226082275217214,0.478323816754599,0.108324964769778
"ENST00000409085.9","ENSG00000115977","AAK1",1.38244944068521e-05,0.00985929925688532,18.8931949124296,2.89797033339841,1,6.3135467427318,0.255744997890906,0.00449558206880224,0.0546466696332061,0.0314672397803693,0.0546466696332061,-0.244302373967954,0.0553989754400317
"ENST00000409223.2","ENSG00000168427","KLHL30",8.31710003466998e-07,0.00252215468509768,24.2829737430155,9.06335947661117,1,3.8628538289336,1.55245003712654,0.0507334972614734,0.134233022669367,0.0593854212944153,0.134233022669367,-0.478471992553119,0.0933683757244422
"ENST00000420358.2","ENSG00000198554","WDHD1",2.28611338913438e-06,0.00368054904104786,22.3382177378626,3.82049440077319,1,5.84481512274703,0.114943616480083,0.00569128290052584,0.0722779905846412,0.0328754242370938,0.0722779905846412,0.300450285458004,0.061681656370683
"ENST00000423485.6","ENSG00000131747","TOP2A",9.86801603035087e-06,0.00855705446709753,19.5368014781988,7.01460009237208,1,8.16066719679298,0.285556783126903,0.000344479388206667,0.142810624537754,0.0339695678297045,0.142810624537754,0.385409190174065,0.0856960009605458
"ENST00000423487.6","ENSG00000165029","ABCA1",1.16899780191411e-07,0.000854038989529307,28.0717516198684,19.2696674425984,1,3.80648966963849,0.435332565145138,0.0887760340145455,0.304482485222157,0.0613962380613413,0.304482485222157,-0.738201773364376,0.131613620047008
"ENST00000425380.7","ENSG00000198331","HYLS1",9.62959155273596e-06,0.00842486086669189,19.5835267380832,6.62393464254144,1,4.93713190906129,0.337574640899254,0.0450115355417316,0.0901708041019712,0.0382353224648943,0.0901708041019712,0.374893569703235,0.0832407402443015
"ENST00000432045.6","ENSG00000226380","",2.39842136788445e-07,0.00106120907939707,26.6820268158425,3.98217225321221,1,5.09151692534755,0.539683982743897,0.00952528246083634,0.0717435390332905,0.036972376645312,0.0717435390332905,-0.329085799464823,0.060577672561081
"ENST00000432278.5","ENSG00000157557","ETS2",5.15887847667021e-08,0.000722154548817086,29.6561466832968,9.67816309143154,1,4.08441725999609,0.631002359584419,0.0530183643567152,0.14449516812148,0.0526754372182412,0.14449516812148,-0.534177675946215,0.0919637127479255
"ENST00000435872.1","ENSG00000229167","",4.55698446853654e-06,0.00537987703738504,21.0150133695106,24.5666885266938,1,2.5948240130952,1.88214120834498,0.125812343204756,0.375548647135935,0.151250805374678,0.375548647135935,-0.743224312393827,0.158270673192789
"ENST00000437139.7","ENSG00000179029","TMEM107",1.37302865483544e-05,0.00985929925688532,18.906239347934,7.65216947624051,1,5.4588669160747,0.260267974834916,0.00849614907070622,0.147670574934202,0.0347067393197758,0.147670574934202,0.397098098022603,0.0900111838611377
"ENST00000440232.7","ENSG00000062822","POLD1",9.76208436818975e-07,0.00265713089741716,23.9744852195209,2.86570519244297,1,6.56167884082587,0.176302192978661,0.0120853628240097,0.046398416613602,0.0310655957359027,0.046398416613602,0.272450116831846,0.0549412872817263
"ENST00000445223.1","ENSG00000124491","F13A1",1.86219046041059e-06,0.00337911701545764,22.732221134515,46.2706602397007,1,2.21479410204613,3.30836857135803,0.178018016893826,0.766281171671495,0.208829756287187,0.766281171671495,1.05298945837623,0.213905175668213
"ENST00000447825.5","ENSG00000088367","EPB41L1",2.44229202790579e-07,0.00106120907939707,26.6470040117353,5.47661425247623,1,4.2037684332423,0.57718026037806,0.0233389374989251,0.0884287003067122,0.0497031376451479,0.0884287003067122,-0.386361288787389,0.0714735860206254
"ENST00000449175.1","ENSG00000236901","MIR600HG",1.20171500619126e-05,0.00927194094698179,19.1605493206299,35.1726530751736,1,4.64357126217312,1.03192707563505,0.271599744163138,0.446209502268977,0.0415255059076716,0.446209502268977,0.856093374792985,0.192539849563017
"ENST00000452684.2","ENSG00000112096","SOD2",5.72294489224481e-09,0.000560779924101284,33.926648430932,9.34241073238551,1,3.71844505207303,0.359512357793572,0.0344483683258252,0.156213075192246,0.064833919371178,0.156213075192246,-0.551560606119427,0.0869741281084042
"ENST00000462050.5","ENSG00000160179","ABCG1",1.18444618068658e-05,0.00927194094698179,19.1881786032095,144.936869006633,1,1.31511365015094,3.67186785597412,0.834820817075805,2.12307446877384,0.558916565161668,2.12307446877384,-1.7388731885161,0.390751240527291
"ENST00000465476.1","ENSG00000144802","NFKBIZ",8.8825969283827e-06,0.00828940864588918,19.7378204213257,10.3711005046922,1,4.7051160539391,0.567833417577345,0.0132109081854299,0.198444204155227,0.0407162191740987,0.198444204155227,-0.4706214234755,0.104014058440654
"ENST00000466086.2","ENSG00000234975","FTH1P2",2.79528574122113e-06,0.00408812625687726,21.9521842889856,24.326869522669,1,4.20291848407597,1.33531299563878,0.034786712309089,0.461680012643341,0.0497229871658006,0.461680012643341,0.752827929773509,0.156183895715811
"ENST00000466342.1","ENSG00000161011","SQSTM1",1.70683096950687e-06,0.0032809408773269,22.8996481201113,4.89142293958762,1,6.31320409669454,0.171034179651213,0.00657399417780606,0.0932509637729616,0.0314679546618729,0.0932509637729616,-0.343375291707506,0.0694443365030092
"ENST00000467061.1","ENSG00000163900","TMEM41A",3.13627577199441e-06,0.00439024843351698,21.7313277716711,2.20894867946425,1,5.28294623331481,0.0830899128359016,0.00556223587497903,0.0395183494202098,0.0356985133591261,0.0395183494202098,-0.246840404316466,0.0535326151398682
"ENST00000467242.1","ENSG00000213626","LBH",1.62430096157733e-06,0.0032809408773269,22.9949193880128,9.1666511189725,1,4.10011170584058,1.16158208924415,0.0638266137752299,0.123247898856862,0.0522620794819946,0.123247898856862,-0.470847469248709,0.0949850267711539
"ENST00000469669.5","ENSG00000182944","EWSR1",1.40541346206204e-05,0.00990745714536221,18.8617682710839,2.15477480429781,1,5.89296740442447,0.289982673896103,0.00670141233040634,0.0372735836756714,0.0326899066287179,0.0372735836756714,0.224547351664061,0.0523704549945819
"ENST00000471887.1","ENSG00000048052","HDAC9",2.58771169983168e-08,0.000722154548817086,30.9944211279388,11.7223376928952,1,3.32372238519709,0.733360538173676,0.0536915733168706,0.185539808170787,0.0862015388938258,0.185539808170787,-0.597684071789399,0.10000870644766
